StudentID,OffClass,Grade,Course,Section,Teacher1,Teacher2,Period,Room
STUDENT7,1V1,9,EEFG3,12,BELINFANTI,,9,349
STUDENT7,1V1,9,FSFC7,2,CAMAS,,3,333
STUDENT7,1V1,9,HGF85QQD,11,KARPOWICH,,7,114
STUDENT7,1V1,9,HGF86QQD,11,KARPOWICH DBL,,8,114
STUDENT7,1V1,9,MRF43,1,RICCARDO,,2,321
STUDENT7,1V1,9,PHF43Q2,5,VLANTIS,,5,149
STUDENT7,1V1,9,PPF43Q3C,15,MCDERMOTT GREENE,,5,GYM2
STUDENT7,1V1,9,SCF43,14,MUSICH,,10,141
STUDENT7,1V1,9,SHFC1TM,2,SADIGH,,6,138
STUDENT7,1V1,9,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT7,1V1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT7,1V1,9,ZQCTESMM,1,,,14,
STUDENT7,1V1,9,ZQGJUN25,1,,,14,
STUDENT8,1V1,9,BCF43T,42,LIGUORI,,9,B28
STUDENT8,1V1,9,EEFG3QH,1,WALDMAN,,2,346
STUDENT8,1V1,9,FSFC7,7,CAMAS,,6,213
STUDENT8,1V1,9,HGF85XHD,3,MUNISTERI,,7,228
STUDENT8,1V1,9,HGF86XHD,3,MUNISTERI DBL,,8,228
STUDENT8,1V1,9,HQF43QH,4,BONKOWSKI,,10,315
STUDENT8,1V1,9,MRF43,4,WONG,,3,324
STUDENT8,1V1,9,PGF43Q2C,5,CORRADO,,9,GYM1
STUDENT8,1V1,9,SCF43,5,BAN,,5,334B
STUDENT8,1V1,9,ZLUNAUD,4,ZZ STAFF,,4,AUD
STUDENT8,1V1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT8,1V1,9,ZQCTEHHR,1,,,14,
STUDENT8,1V1,9,ZQGJUN25,1,,,14,
STUDENT9,1D0,9,AUFC3TA,1,SMITH,,2,232
STUDENT9,1D0,9,EEFG7,7,WORTMAN,,9,124
STUDENT9,1D0,9,MEF87QF,40,CHEN,,8,326
STUDENT9,1D0,9,MKFC3TC,3,JOSEPH,,5,108
STUDENT9,1D0,9,PPF43Q5C,7,LEVITT,,6,GYM3
STUDENT9,1D0,9,SCF83QGF,3,HAN,MILLE,7,139
STUDENT9,1D0,9,UAF43Q2,2,LIGUORI,,3,B27
STUDENT9,1D0,9,UAF43Q3,2,LIGUORI,,3,B27
STUDENT9,1D0,9,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT9,1D0,9,ZQACSC,1,COLLAZO,,13,150
STUDENT9,1D0,9,ZQCTECWD,1,,,14,
STUDENT9,1D0,9,ZQGJUN24,1,,,14,
STUDENT10,3D9,11,ECF43QQY,1,SARRO,,5,335
STUDENT10,3D9,11,EEF33U,30,RIVERA,,2,347
STUDENT10,3D9,11,EQFGBQQL,1,SARRO,,1,227
STUDENT10,3D9,11,FSFCBU,4,TAVAREZ,,4,214
STUDENT10,3D9,11,HRF43XE,1,FISHMAN,,8,223
STUDENT10,3D9,11,MPF43UQJ,6,BUKALOV,,7,325
STUDENT10,3D9,11,PPF43Q5C,6,BISHOP,,6,GYM3
STUDENT10,3D9,11,SPF43,2,PRYCE,,3,238
STUDENT10,3D9,11,ZLUN,9,ZZ STAFF,,9,CAFÉ
STUDENT10,3D9,11,ZQACSIGS,1,COLLAZO,,13,150
STUDENT10,3D9,11,ZQCTEHHR,1,,,14,
STUDENT10,3D9,11,ZQGJUN23,1,,,14,
STUDENT11,2F0,10,EEFG7QH,3,RIVERA,,10,347
STUDENT11,2F0,10,FSFC3,2,MAHARAJH,,4,334A
STUDENT11,2F0,10,HQFC3TH,3,MARK,,9,315
STUDENT11,2F0,10,HUF43X,2,DEEGAN,,3,223
STUDENT11,2F0,10,MRF43,2,BELFI,,2,208
STUDENT11,2F0,10,PGF43Q3C,4,BISHOP,,7,GYM1
STUDENT11,2F0,10,SCF43QG,2,MUSICH,SANDHU,5,346
STUDENT11,2F0,10,SDF43QQE,3,BAN,,6,334B
STUDENT11,2F0,10,UAF43Q2,5,LIGUORI,,7,B28
STUDENT11,2F0,10,ZLUN,8,ZZ STAFF,,8,CAFÉ
STUDENT11,2F0,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT11,2F0,10,ZQCTEHHR,1,,,14,
STUDENT11,2F0,10,ZQGJUN24,1,,,14,
STUDENT12,3D9,11,EEFGBQH,1,STABILE,,3,349
STUDENT12,3D9,11,EEFGFUQF,2,DELOUGHY,,7,125
STUDENT12,3D9,11,FSFCBU,10,TAVAREZ,,9,225
STUDENT12,3D9,11,HFF43QG,1,LEE,AMBROSE,4,330
STUDENT12,3D9,11,HQFCBUHT,1,FOX,,2,316
STUDENT12,3D9,11,MPF43UQJ,8,HARITOS,,8,203
STUDENT12,3D9,11,PPF43Q5C,9,MCDERMOTT GREENE,,6,GYM2
STUDENT12,3D9,11,ZLUN,5,ZZ STAFF,,5,CAFÉ
STUDENT12,3D9,11,ZQACSIGS,1,COLLAZO,,13,150
STUDENT12,3D9,11,ZQCTEHHR,1,,,14,
STUDENT12,3D9,11,ZQGJUN22,1,,,14,
STUDENT13,1S1,9,EEFG3,9,ORMAECHEA,,6,246
STUDENT13,1S1,9,FKFC3,3,SONG,,10,214
STUDENT13,1S1,9,HGF85QQD,3,KNELLER,,3,225
STUDENT13,1S1,9,HGF86QQD,3,KNELLER DBL,,4,225
STUDENT13,1S1,9,MRF43QGF,4,STANISCI,ENG,8,208
STUDENT13,1S1,9,PHF43Q2,9,DYCKMAN,,9,121
STUDENT13,1S1,9,PPF43Q3C,21,MCDERMOTT GREENE,,9,GYM2
STUDENT13,1S1,9,SHF81,1,GLICKMAN,,2,203
STUDENT13,1S1,9,SLF43,4,GAPPELBERG,,5,336
STUDENT13,1S1,9,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT13,1S1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT13,1S1,9,ZQCTESMM,1,,,14,
STUDENT13,1S1,9,ZQGJUN25,1,,,14,
STUDENT14,4D8,12,GMF11Q7,1,,,7,
STUDENT14,4D8,12,PPF43Q5C,9,MCDERMOTT GREENE,,6,GYM2
STUDENT14,4D8,12,SHF21UQH,2,SEIDMAN,,4,327
STUDENT14,4D8,12,SHF21UQT,1,WEISSMANN,,3,249
STUDENT14,4D8,12,ZLUN,5,ZZ STAFF,,5,CAFÉ
STUDENT14,4D8,12,ZQACSAMU,1,COLLAZO,,13,150
STUDENT14,4D8,12,ZQCTESMM,1,,,14,
STUDENT14,4D8,12,ZQGJUN22,1,,,14,
STUDENT15,V11,9,EEFG3QT,6,DELSIGNORE,BOCCUZZA J,8,350
STUDENT15,V11,9,FFFC3,5,MAHARAJH,,7,334A
STUDENT15,V11,9,HGF85QTD,1,STEELE,SKODT NIELSEN,2,226
STUDENT15,V11,9,HGF86QTD,1,STEELE DBL,,3,226
STUDENT15,V11,9,MRF43QTF,2,ORTIZO,HARITOS,4,107
STUDENT15,V11,9,PHF43Q3,12,CASORIA,,10,149
STUDENT15,V11,9,PPF43Q2C,22,BOCCUZZA M,,10,GYM2
STUDENT15,V11,9,SHFC1TM,2,SADIGH,,6,138
STUDENT15,V11,9,SLF43QT,6,MILLE,KUBLALL,9,338
STUDENT15,V11,9,ZLUN,5,ZZ STAFF,,5,CAFÉ
STUDENT15,V11,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT15,V11,9,ZQCTESMM,1,,,14,
STUDENT15,V11,9,ZQGJUN25,1,,,14,
STUDENT16,2S9,10,AUFC3TA,4,VIZOSO,,10,204
STUDENT16,2S9,10,EEFG2,99,TESSENHOLTZ MP,,11,****
STUDENT16,2S9,10,EEFG3,10,FODERA,,7,335
STUDENT16,2S9,10,EEFGFQF,40,SEGALL,HERMEL,5,123
STUDENT16,2S9,10,HUF43QF,40,MCNAMARA,,3,219
STUDENT16,2S9,10,PPF43Q5C,6,BISHOP,,6,GYM3
STUDENT16,2S9,10,SDF43QQE,4,COHEN I,,8,338
STUDENT16,2S9,10,SHFC9TM,5,SEIDMAN,,9,GYM1
STUDENT16,2S9,10,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT16,2S9,10,ZQACSAMU,1,COLLAZO,,13,150
STUDENT16,2S9,10,ZQCTESMM,1,,,14,
STUDENT16,2S9,10,ZQELLCUR,1,,,13,****
STUDENT16,2S9,10,ZQGJUN23,1,,,14,
STUDENT17,4Z8,12,AUF41QQD,1,SMITH,,3,232
STUDENT17,4Z8,12,AUF42QQD,1,SMITH DBL,,4,232
STUDENT17,4Z8,12,EEFGFQF,40,SEGALL,HERMEL,5,123
STUDENT17,4Z8,12,GMF11Q9,1,,,9,
STUDENT17,4Z8,12,HRF43XA,1,DOYLE,,6,111
STUDENT17,4Z8,12,PPF43Q5C,11,CASORIA,,8,GYM3
STUDENT17,4Z8,12,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT17,4Z8,12,ZQACSIGS,1,COLLAZO,,13,150
STUDENT17,4Z8,12,ZQCTEDA,1,,,14,
STUDENT17,4Z8,12,ZQELLFOR,1,,,13,****
STUDENT17,4Z8,12,ZQGJUN22,1,,,14,
STUDENT18,1V1,9,EEFG3QH,3,WALDMAN,,8,346
STUDENT18,1V1,9,FJFC3QC7,1,SAKAI,,6,122
STUDENT18,1V1,9,HGF85QQD,2,QUAN,,2,313
STUDENT18,1V1,9,HGF86QQD,2,QUAN DBL,,3,313
STUDENT18,1V1,9,HQF43QH,3,BONKOWSKI,,7,315
STUDENT18,1V1,9,MRF43,13,PESHTANI,,9,205
STUDENT18,1V1,9,PHF43Q3,11,DEMELO,,10,327
STUDENT18,1V1,9,PPF43Q2C,23,SCHARF,,10,GYM3
STUDENT18,1V1,9,SLF43QG,2,KUBLALL,ANDERSON CAMPBELL,5,105
STUDENT18,1V1,9,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT18,1V1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT18,1V1,9,ZQCTEHHR,1,,,14,
STUDENT18,1V1,9,ZQGJUN25,1,,,14,
STUDENT19,1F1,9,EEFG3QH,1,WALDMAN,,2,346
STUDENT19,1F1,9,FSFC7,15,CAMAS,,9,333
STUDENT19,1F1,9,HGF85XHD,2,EDELE,,5,228
STUDENT19,1F1,9,HGF86XHD,2,EDELE DBL,,6,228
STUDENT19,1F1,9,HQF43QH,3,BONKOWSKI,,7,315
STUDENT19,1F1,9,MRF43,11,TREUE,,8,205
STUDENT19,1F1,9,PHF43Q3,12,CASORIA,,10,149
STUDENT19,1F1,9,PPF43Q2C,23,SCHARF,,10,GYM3
STUDENT19,1F1,9,SCF43,3,BORLONGAN,,3,141
STUDENT19,1F1,9,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT19,1F1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT19,1F1,9,ZQCTEHHR,1,,,14,
STUDENT19,1F1,9,ZQGJUN25,1,,,14,
STUDENT20,WP8,9,BCF43T,26,ROSSI,,5,211
STUDENT20,WP8,9,EEFGBQW,1,MICHELLI,,8,250
STUDENT20,WP8,9,GMF11Q10,1,,,10,
STUDENT20,WP8,9,MRF43QWF,1,CROWLEY,,3,205
STUDENT20,WP8,9,PPF43Q2C,13,COGLIATI,,5,GYM3
STUDENT20,WP8,9,SDF43QWE,2,KLEINER EILON,,4,328B
STUDENT20,WP8,9,SHF85,1,SCHARF,,6,248
STUDENT20,WP8,9,SHFC9TM,5,SEIDMAN,,9,GYM1
STUDENT20,WP8,9,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT20,WP8,9,ZQACSAMU,1,COLLAZO,,13,150
STUDENT20,WP8,9,ZQCTESMM,1,,,14,
STUDENT20,WP8,9,ZQGJUN22,1,,,14,
STUDENT21,V20,10,BCF43T,25,ARCHETTI,,3,107
STUDENT21,V20,10,EEFG7QT,9,JO,KOUMOULIS,9,330
STUDENT21,V20,10,HUF43QT,3,RIAZ,TRIANTAFILLOU,6,113
STUDENT21,V20,10,MKF43QTF,1,PARLATORE,ARCHETTI,5,321
STUDENT21,V20,10,MKFC3TC,4,JOSEPH,,7,106
STUDENT21,V20,10,PPF43Q5C,12,KASSIMIS,,8,GYM2
STUDENT21,V20,10,SDF43QTE,1,SANDHU,PRINTZ,2,341
STUDENT21,V20,10,UAF43Q2,2,LIGUORI,,3,B27
STUDENT21,V20,10,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT21,V20,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT21,V20,10,ZQCTECWD,1,,,14,
STUDENT21,V20,10,ZQGJUN24,1,,,14,
STUDENT22,1D9,9,EEFGFUQX,1,RIVERA,,3,347
STUDENT22,1D9,9,FFFCBU,1,LAWRENCE,,8,334A
STUDENT22,1D9,9,HFF43UQX,2,EDELE,,4,228
STUDENT22,1D9,9,MGF43,10,BANU,,10,203
STUDENT22,1D9,9,PHF43Q2,7,COGLIATI,,7,122
STUDENT22,1D9,9,PPF43Q3C,17,DYCKMAN,,7,GYM3
STUDENT22,1D9,9,SHFC9TM,2,DEMELO,,6,327
STUDENT22,1D9,9,SPF43,5,PRYCE,,5,214
STUDENT22,1D9,9,ZLUN,9,ZZ STAFF,,9,CAFÉ
STUDENT22,1D9,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT22,1D9,9,ZQCTESMM,1,,,14,
STUDENT22,1D9,9,ZQGJUN23,1,,,14,
STUDENT23,2G0,10,AQF43UVT,2,ROSSI,,3,206
STUDENT23,2G0,10,BCF43T,28,PORCHETTA,,7,211
STUDENT23,2G0,10,EEFG7,1,BOCCUZZA J,,2,350
STUDENT23,2G0,10,FSFCBU,10,TAVAREZ,,9,225
STUDENT23,2G0,10,HUF43QG,3,TRIANTAFILLOU,RIAZ,6,113
STUDENT23,2G0,10,MGF43,3,AMINOV,,4,105
STUDENT23,2G0,10,PPF43Q2C,18,KASSIMIS,,7,GYM2
STUDENT23,2G0,10,SPF43,7,MA,,5,247
STUDENT23,2G0,10,ZLUN,8,ZZ STAFF,,8,CAFÉ
STUDENT23,2G0,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT23,2G0,10,ZQCTEERT,1,,,14,
STUDENT23,2G0,10,ZQGJUN24,1,,,14,
STUDENT24,1D9,9,ALF43QQD,1,VIZOSO,,3,B7
STUDENT24,1D9,9,ANF43UQX,1,VIZOSO DBL,,4,B7
STUDENT24,1D9,9,EEFGFUQF,3,DELOUGHY,,9,125
STUDENT24,1D9,9,FMFCBU,5,HSIEH,,8,138
STUDENT24,1D9,9,HFF43UQX,3,MCNAMARA,,6,219
STUDENT24,1D9,9,MCF43UAX,2,SCHWARTZ S,,5,323
STUDENT24,1D9,9,PGF43Q2C,6,DYCKMAN,,10,GYM1
STUDENT24,1D9,9,PHF43Q3,12,CASORIA,,10,149
STUDENT24,1D9,9,SPF43,1,PRYCE,,2,238
STUDENT24,1D9,9,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT24,1D9,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT24,1D9,9,ZQCTEDA,1,,,14,
STUDENT24,1D9,9,ZQGJUN23,1,,,14,
STUDENT25,2F0,10,EEFG7QH,3,RIVERA,,10,347
STUDENT25,2F0,10,FJFC7QC3,1,SAKAI,,6,122
STUDENT25,2F0,10,HQFC3TH,1,MARK,,3,315
STUDENT25,2F0,10,HUF43X,5,DEEGAN,,7,326
STUDENT25,2F0,10,MRF43,11,TREUE,,8,205
STUDENT25,2F0,10,PGF43Q3C,5,CORRADO,,9,GYM1
STUDENT25,2F0,10,SCF43,6,SULTANA,,5,334A
STUDENT25,2F0,10,UAF87Q2,6,BRIANKA,,9,B27
STUDENT25,2F0,10,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT25,2F0,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT25,2F0,10,ZQCTEHHR,1,,,14,
STUDENT25,2F0,10,ZQGJUN24,1,,,14,
STUDENT26,3V9,11,EEFGBQH,1,STABILE,,3,349
STUDENT26,3V9,11,FKFCBU,1,SONG,,4,331
STUDENT26,3V9,11,GQF11QU2,2,,,2,LIB
STUDENT26,3V9,11,MPF43UQS,3,PESHTANI,,5,205
STUDENT26,3V9,11,MSF43UQX,2,WONG,,8,323
STUDENT26,3V9,11,PPF43Q3C,4,MCDERMOTT GREENE,,2,GYM2
STUDENT26,3V9,11,SDF43UVX,2,GAPPELBERG,,6,336
STUDENT26,3V9,11,SDF83UVT,2,YARDEN,,7,332
STUDENT26,3V9,11,ZLUN,9,ZZ STAFF,,9,CAFÉ
STUDENT26,3V9,11,ZQACSIGS,1,COLLAZO,,13,150
STUDENT26,3V9,11,ZQCTEERT,1,,,14,
STUDENT26,3V9,11,ZQGJUN23,1,,,14,
STUDENT27,3V9,11,EEFGBQH,3,STABILE,,7,349
STUDENT27,3V9,11,FKFCBU,1,SONG,,4,331
STUDENT27,3V9,11,MKF43QGF,1,ARCHETTI,,5,321
STUDENT27,3V9,11,MKF43QQC,2,ORTIZO,,8,108
STUDENT27,3V9,11,MKFC7UCT,3,PORCHETTA,,6,322
STUDENT27,3V9,11,PPF43Q2C,4,MCDERMOTT GREENE,,2,GYM2
STUDENT27,3V9,11,PPF43Q3C,4,MCDERMOTT GREENE,,2,GYM2
STUDENT27,3V9,11,SDF43QQE,1,COHEN I,,3,336
STUDENT27,3V9,11,ZLUN,9,ZZ STAFF,,9,CAFÉ
STUDENT27,3V9,11,ZQACSIGS,1,COLLAZO,,13,150
STUDENT27,3V9,11,ZQCTECWD,1,,,14,
STUDENT27,3V9,11,ZQGJUN23,1,,,14,
STUDENT28,1V1,9,EEFG3,9,ORMAECHEA,,6,246
STUDENT28,1V1,9,FSFC7,11,TORO,,7,331
STUDENT28,1V1,9,HGF85QQD,1,KARPOWICH,,2,114
STUDENT28,1V1,9,HGF86QQD,1,KARPOWICH DBL,,3,114
STUDENT28,1V1,9,MEF43,6,COLUCCI,,9,324
STUDENT28,1V1,9,PGF43Q3C,6,DYCKMAN,,10,GYM1
STUDENT28,1V1,9,PHF43Q2,12,CASORIA,,10,149
STUDENT28,1V1,9,SCF43,7,BORLONGAN,,5,141
STUDENT28,1V1,9,UEFG3,3,WANG,,8,B28
STUDENT28,1V1,9,ZLUN,4,ZZ STAFF,,4,CAFÉ
STUDENT28,1V1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT28,1V1,9,ZQCTEMPP,1,,,14,
STUDENT28,1V1,9,ZQGJUN25,1,,,14,
STUDENT29,1S1,9,BCF43T,24,ROFFLER,,3,321
STUDENT29,1S1,9,EEFG3,2,JEDRETIC,,2,246
STUDENT29,1S1,9,FSFC7,16,JASIENOWSKI,,10,213
STUDENT29,1S1,9,HGF85QGD,7,TRIANTAFILLOU,RIAZ,8,113
STUDENT29,1S1,9,HGF86QGD,7,TRIANTAFILLOU DBL,,9,113
STUDENT29,1S1,9,MRF43,6,ENG,,4,208
STUDENT29,1S1,9,PPF43Q2C,9,KASSIMIS,,3,GYM2
STUDENT29,1S1,9,SCF43,5,BAN,,5,334B
STUDENT29,1S1,9,UEFG3,2,WANG,,6,B28
STUDENT29,1S1,9,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT29,1S1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT29,1S1,9,ZQCTEMPP,1,,,14,
STUDENT29,1S1,9,ZQGJUN25,1,,,14,
STUDENT30,1V9,9,BCF43T,38,PORCHETTA,,7,211
STUDENT30,1V9,9,EEFGFUGJ,1,SHEIN,LOMBARDO,3,B6
STUDENT30,1V9,9,FFFCBUCX,1,LAWRENCE,,5,333
STUDENT30,1V9,9,MRF43QGF,1,HARITOS,ORTIZO,2,107
STUDENT30,1V9,9,PHF43Q3,8,VLANTIS,,7,149
STUDENT30,1V9,9,PPF43Q5C,2,BOCCUZZA M,,4,GYM3
STUDENT30,1V9,9,SDF43QGE,5,HAN,SANDHU,8,139
STUDENT30,1V9,9,SHFC9TM,5,SEIDMAN,,9,GYM1
STUDENT30,1V9,9,ZLUN,6,ZZ STAFF,,6,CAFÉ
STUDENT30,1V9,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT30,1V9,9,ZQCTESMM,1,,,14,
STUDENT30,1V9,9,ZQGJUN23,1,,,14,
STUDENT31,1V1,9,EEFG3,6,FODERA,,4,335
STUDENT31,1V1,9,FKFC3,1,SONG,,3,331
STUDENT31,1V1,9,HGF85QGD,4,MARK,MAGGIOTTA,5,313
STUDENT31,1V1,9,HGF86QGD,4,MARK DBL,,6,313
STUDENT31,1V1,9,MKF43,6,MARGOLIN,,10,106
STUDENT31,1V1,9,MRF43,12,ROFFLER,,8,211
STUDENT31,1V1,9,PHF43Q3,9,DYCKMAN,,9,121
STUDENT31,1V1,9,PPF43Q2C,21,MCDERMOTT GREENE,,9,GYM2
STUDENT31,1V1,9,SLF43,1,KUBLALL,,2,231
STUDENT31,1V1,9,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT31,1V1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT31,1V1,9,ZQCTECWD,1,,,14,
STUDENT31,1V1,9,ZQGJUN25,1,,,14,
STUDENT32,2G0,10,AQF43UVT,1,ROSSI,,2,206
STUDENT32,2G0,10,BCF43T,38,PORCHETTA,,7,211
STUDENT32,2G0,10,EEFG7,3,AMBROSE,,5,330
STUDENT32,2G0,10,EEFGFUTF,1,DELOUGHY,BELINFANTI,4,125
STUDENT32,2G0,10,FSFCBU,2,TAVAREZ,,3,214
STUDENT32,2G0,10,GQF11QU,8,,,8,LIB
STUDENT32,2G0,10,MGF43,10,BANU,,10,203
STUDENT32,2G0,10,PGF43Q3C,4,BISHOP,,7,GYM1
STUDENT32,2G0,10,SCF43,12,HAN,,9,139
STUDENT32,2G0,10,ZLUN,6,ZZ STAFF,,6,CAFÉ
STUDENT32,2G0,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT32,2G0,10,ZQCTEERT,1,,,14,
STUDENT32,2G0,10,ZQGJUN24,1,,,14,
STUDENT33,1D1,9,EEFG3QG,6,BOCCUZZA J,DELSIGNORE,8,350
STUDENT33,1D1,9,FKFC3,1,SONG,,3,331
STUDENT33,1D1,9,HGF85QQD,14,FISHMAN,,9,223
